precinct_id,electoral_district_id
910011,330004745
9100110,330004745
9100111,330004745
9100112,330004745
9100113,330004745
9100114,330004745
9100115,330004745
9100116,330004745
9100117,330004745
9100118,330004745
9100119,330004745
910012,330004745
9100120,330004745
9100121,330004745
9100122,330004745
9100123,330004745
9100124,330004745
9100125,330004745
9100126,330004745
9100127,330004745
9100128,330004745
9100129,330004745
910013,330004745
9100130,330004745
9100131,330004745
9100132,330004745
9100133,330004745
9100134,330004745
9100135,330004745
9100136,330004745
9100137,330004745
9100138,330004745
910014,330004745
910015,330004745
910016,330004745
910017,330004745
910019,330004745
910021,330004745
9100210,330004745
9100211,330004745
9100212,330004745
9100213,330004745
9100214,330004745
9100215,330004745
9100216,330004745
910022,330004745
910023,330004745
910024,330004745
910025,330004745
910026,330004745
910027,330004745
910028,330004745
910029,330004745
910031,330004745
910032,330004745
910033,330004745
910034,330004745
910035,330004745
910036,330004745
910037,330004745
910011,330004746
9100110,330004746
9100111,330004746
9100112,330004746
9100113,330004746
9100114,330004746
9100115,330004746
9100116,330004746
9100117,330004746
9100118,330004746
9100119,330004746
910012,330004746
9100120,330004746
9100121,330004746
9100122,330004746
9100123,330004746
9100124,330004746
9100125,330004746
9100126,330004746
9100127,330004746
9100128,330004746
9100129,330004746
910013,330004746
9100130,330004746
9100131,330004746
9100132,330004746
9100133,330004746
9100134,330004746
9100135,330004746
9100136,330004746
9100137,330004746
9100138,330004746
910014,330004746
910015,330004746
910016,330004746
910017,330004746
910019,330004746
910021,330004746
9100210,330004746
9100211,330004746
9100212,330004746
9100213,330004746
9100214,330004746
9100215,330004746
9100216,330004746
910022,330004746
910023,330004746
910024,330004746
910025,330004746
910026,330004746
910027,330004746
910028,330004746
910029,330004746
910031,330004746
910032,330004746
910033,330004746
910034,330004746
910035,330004746
910036,330004746
910037,330004746
910011,330004747
9100110,330004747
9100111,330004747
9100112,330004747
9100113,330004747
9100114,330004747
9100115,330004747
9100116,330004747
9100117,330004747
9100118,330004747
9100119,330004747
910012,330004747
9100120,330004747
9100121,330004747
9100122,330004747
9100123,330004747
9100124,330004747
9100125,330004747
9100126,330004747
9100127,330004747
9100128,330004747
9100129,330004747
910013,330004747
9100130,330004747
9100131,330004747
9100132,330004747
9100133,330004747
9100134,330004747
9100135,330004747
9100136,330004747
9100137,330004747
9100138,330004747
910014,330004747
910015,330004747
910016,330004747
910017,330004747
910019,330004747
910021,330004747
9100210,330004747
9100211,330004747
9100212,330004747
9100213,330004747
9100214,330004747
9100215,330004747
9100216,330004747
910022,330004747
910023,330004747
910024,330004747
910025,330004747
910026,330004747
910027,330004747
910028,330004747
910029,330004747
910031,330004747
910032,330004747
910033,330004747
910034,330004747
910035,330004747
910036,330004747
910037,330004747
910011,330004801
9100110,330004801
9100111,330004801
9100112,330004801
9100113,330004801
9100114,330004801
9100115,330004801
9100116,330004801
9100117,330004801
9100118,330004801
9100119,330004801
910012,330004801
9100120,330004801
9100121,330004801
9100122,330004801
9100123,330004801
9100124,330004801
9100125,330004801
9100126,330004801
9100127,330004801
9100128,330004801
9100129,330004801
910013,330004801
9100130,330004801
9100131,330004801
9100132,330004801
9100133,330004801
9100134,330004801
9100135,330004801
9100136,330004801
9100137,330004801
9100138,330004801
910014,330004801
910015,330004801
910016,330004801
910017,330004801
910019,330004801
910021,330004801
9100210,330004801
9100211,330004801
9100212,330004801
9100213,330004801
9100214,330004801
9100215,330004801
9100216,330004801
910022,330004801
910023,330004801
910024,330004801
910025,330004801
910026,330004801
910028,330004801
910027,330004801
910029,330004801
910031,330004801
910032,330004801
910033,330004801
910034,330004801
910035,330004801
910036,330004801
910037,330004801
910011,330004802
9100110,330004802
9100111,330004802
9100112,330004802
9100113,330004802
9100114,330004802
9100115,330004802
9100116,330004802
9100117,330004802
9100118,330004802
9100119,330004802
910012,330004802
9100120,330004802
9100121,330004802
9100122,330004802
9100123,330004802
9100124,330004802
9100125,330004802
9100126,330004802
9100127,330004802
9100128,330004802
9100129,330004802
910013,330004802
9100130,330004802
9100131,330004802
9100132,330004802
9100133,330004802
9100134,330004802
9100135,330004802
9100136,330004802
9100137,330004802
9100138,330004802
910014,330004802
910015,330004802
910016,330004802
910017,330004802
910019,330004802
910021,330004802
9100210,330004802
9100211,330004802
9100212,330004802
9100213,330004802
9100214,330004802
9100215,330004802
9100216,330004802
910022,330004802
910023,330004802
910024,330004802
910025,330004802
910026,330004802
910027,330004802
910028,330004802
910029,330004802
910031,330004802
910032,330004802
910033,330004802
910034,330004802
910035,330004802
910036,330004802
910037,330004802
