precinct_split_id,electoral_district_id
71001100,330004745
71001100,330004746
71001100,330004747
71001100,330004801
71001100,330004802
71001100,330004805
71001100,330004806
71001100,330004814
71001100,330004817
71001100,330004818
71001100,330004822
71001100,330004825
71001100,330004830
71001100,330004834
71001100,330004837
71001100,330004838
71001100,33001421
71001100,33001422
71001100,33001425
71001100,33001428
71001100,33001467
710011288,330004745
710011288,330004746
710011288,330004747
710011288,330004801
710011288,330004802
710011288,330004805
710011288,330004806
710011288,330004814
710011288,330004817
710011288,330004818
710011288,330004822
710011288,330004825
710011288,330004830
710011288,330004834
710011288,330004837
710011288,330004838
710011288,33001421
710011288,33001422
710011288,33001425
710011288,33001428
710011288,33001467
710011386,330004745
710011386,330004746
710011386,330004747
710011386,330004801
710011386,330004802
710011386,330004805
710011386,330004806
710011386,330004814
710011386,330004817
710011386,330004818
710011386,330004822
710011386,330004825
710011386,330004830
710011386,330004834
710011386,330004837
710011386,330004838
710011386,33001421
710011386,33001422
710011386,33001428
710011386,33001467
710011518,330004745
710011518,330004746
710011518,330004747
710011518,330004801
710011518,330004802
710011518,330004805
710011518,330004806
710011518,330004814
710011518,330004817
710011518,330004818
710011518,330004822
710011518,330004825
710011518,330004830
710011518,330004834
710011518,330004837
710011518,330004838
710011518,33001425
710011518,33001428
710011554,330004745
710011554,330004746
710011554,330004747
710011554,330004801
710011554,330004802
710011554,330004805
710011554,330004806
710011554,330004814
710011554,330004817
710011554,330004818
710011554,330004822
710011554,330004825
710011554,330004830
710011554,330004834
710011554,330004837
710011554,330004838
710011554,33001425
710011554,33001428
710011692,330004745
710011692,330004746
710011692,330004747
710011692,330004801
710011692,330004802
710011692,330004805
710011692,330004806
710011692,330004814
710011692,330004817
710011692,330004818
710011692,330004822
710011692,330004825
710011692,330004830
710011692,330004834
710011692,330004837
710011692,330004838
710011692,33001421
710011692,33001422
710011692,33001428
710011692,33001467
710011723,330004745
710011723,330004746
710011723,330004747
710011723,330004801
710011723,330004802
710011723,330004805
710011723,330004806
710011723,330004814
710011723,330004817
710011723,330004818
710011723,330004822
710011723,330004825
710011723,330004830
710011723,330004834
710011723,330004837
710011723,330004838
710011723,33001421
710011723,33001422
710011723,33001428
710011723,33001467
710011781,330004745
710011781,330004746
710011781,330004747
710011781,330004801
710011781,330004802
710011781,330004805
710011781,330004806
710011781,330004814
710011781,330004817
710011781,330004818
710011781,330004822
710011781,330004825
710011781,330004830
710011781,330004834
710011781,330004837
710011781,330004838
710011781,33001421
710011781,33001422
710011781,33001425
710011781,33001428
710011781,33001467
710011796,330004745
710011796,330004746
