start_house_number,end_house_number,odd_even_both,start_apartment_number,end_apartment_number,non_house_address_house_number,non_house_address_house_number_prefix,non_house_address_house_number_suffix,non_house_address_street_direction,non_house_address_street_name,non_house_address_street_suffix,non_house_address_address_direction,non_house_address_apartment,non_house_address_city,non_house_address_state,non_house_address_zip,precinct_id,precinct_split_id,id
1,199,ODD,,,,,,,LESLEE,DR,,,GRAHAM,NC,27253,9100112,710017710,99100110058
100,198,EVEN,,,,,,,LESTER,CT,,,BURLINGTON,NC,27217,9100130,71001421,99100110059
101,199,ODD,,,,,,,LESTER,CT,,,BURLINGTON,NC,27217,9100130,71001421,99100110060
101,199,ODD,,,,,,,LESTER,DR,,,BURLINGTON,NC,27215,9100129,710017265,99100110061
1900,2098,EVEN,,,,,,,LEWIS,DR,,,BURLINGTON,NC,27215,9100112,710013890,99100110062
1901,2099,ODD,,,,,,,LEWIS,DR,,,BURLINGTON,NC,27215,9100112,710013890,99100110063
3900,4398,EVEN,,,,,,,LEWIS,RD,,,SNOW CAMP,NC,27349,9100118,710016476,99100110064
300,698,EVEN,,,,,,,LINCOLN,ST,,,BURLINGTON,NC,27217,9100134,710015349,99100110065
301,699,ODD,,,,,,,LINCOLN,ST,,,BURLINGTON,NC,27217,9100134,710015349,99100110066
2200,2298,EVEN,,,,,,,LINDA,LN,,,ELON,NC,27244,910013,71001760,99100110067
1600,1698,EVEN,,,,,,,LINDLEY,TRL,,,GRAHAM,NC,27253,9100119,710011518,99100110068
100,298,EVEN,,,,,,,LINDSEY,ST,,,BURLINGTON,NC,27217,9100134,710015349,99100110069
800,898,EVEN,,,,,,,LINENS,ST,,,GRAHAM,NC,27253,9100114,710012678,99100110070
6500,6598,EVEN,,,,,,,LITTLE SPRING,RD,,,SNOW CAMP,NC,27349,910011,710017878,99100110071
1701,1799,ODD,,,,,,,LITTLEJOHN,CT,,,BURLINGTON,NC,27217,910013,71001760,99100110072
5200,5298,EVEN,,,,,,,LLOYD HILL,LN,,,GRAHAM,NC,27253,9100121,710011723,99100110073
5201,5299,ODD,,,,,,,LLOYD HILL,LN,,,GRAHAM,NC,27253,9100121,710011723,99100110074
2301,2399,ODD,,,,,,,LOBLOLLY,LN,,,GRAHAM,NC,27253,9100118,710016476,99100110075
800,898,EVEN,,,,,,,LOCKESLEY,LN,,,BURLINGTON,NC,27217,910013,71001760,99100110076
801,899,ODD,,,,,,,LOCKESLEY,LN,,,BURLINGTON,NC,27217,910013,71001760,99100110077
2200,2398,EVEN,,,,,,,LOETTA,TRL,,,GREEN LEVEL,NC,27217,9100137,710012837,99100110078
